"Group" "Gene.set" "Gene"
"61" "Cellular process, DNA replication and repair" "Cell cycle" "EP300"
"62" "Cellular process, DNA replication and repair" "Cell cycle" "ESPL1"
"63" "Cellular process, DNA replication and repair" "Cell cycle" "FZR1"
"64" "Cellular process, DNA replication and repair" "Cell cycle" "GADD45A"
"65" "Cellular process, DNA replication and repair" "Cell cycle" "GADD45B"
"66" "Cellular process, DNA replication and repair" "Cell cycle" "GADD45G"
"67" "Cellular process, DNA replication and repair" "Cell cycle" "GSK3B"
"68" "Cellular process, DNA replication and repair" "Cell cycle" "HDAC1"
"69" "Cellular process, DNA replication and repair" "Cell cycle" "HDAC2"
"70" "Cellular process, DNA replication and repair" "Cell cycle" "MAD1L1"
"71" "Cellular process, DNA replication and repair" "Cell cycle" "MAD2L1"
"72" "Cellular process, DNA replication and repair" "Cell cycle" "MAD2L2"
"73" "Cellular process, DNA replication and repair" "Cell cycle" "MCM2"
"74" "Cellular process, DNA replication and repair" "Cell cycle" "MCM3"
"75" "Cellular process, DNA replication and repair" "Cell cycle" "MCM4"
"76" "Cellular process, DNA replication and repair" "Cell cycle" "MCM5"
"77" "Cellular process, DNA replication and repair" "Cell cycle" "MCM6"
"78" "Cellular process, DNA replication and repair" "Cell cycle" "MCM7"
"79" "Cellular process, DNA replication and repair" "Cell cycle" "MDM2"
"80" "Cellular process, DNA replication and repair" "Cell cycle" "MYC"
"81" "Cellular process, DNA replication and repair" "Cell cycle" "ORC1"
"82" "Cellular process, DNA replication and repair" "Cell cycle" "ORC2"
"83" "Cellular process, DNA replication and repair" "Cell cycle" "ORC3"
"84" "Cellular process, DNA replication and repair" "Cell cycle" "ORC4"
"85" "Cellular process, DNA replication and repair" "Cell cycle" "ORC5"
"86" "Cellular process, DNA replication and repair" "Cell cycle" "ORC6"
"87" "Cellular process, DNA replication and repair" "Cell cycle" "PCNA"
"88" "Cellular process, DNA replication and repair" "Cell cycle" "PKMYT1"
"89" "Cellular process, DNA replication and repair" "Cell cycle" "PLK1"
"90" "Cellular process, DNA replication and repair" "Cell cycle" "PRKDC"
"91" "Cellular process, DNA replication and repair" "Cell cycle" "PTTG1"
"92" "Cellular process, DNA replication and repair" "Cell cycle" "PTTG2"
"93" "Cellular process, DNA replication and repair" "Cell cycle" "RAD21"
"94" "Cellular process, DNA replication and repair" "Cell cycle" "RB1"
"95" "Cellular process, DNA replication and repair" "Cell cycle" "RBL1"
"96" "Cellular process, DNA replication and repair" "Cell cycle" "RBL2"
"97" "Cellular process, DNA replication and repair" "Cell cycle" "RBX1"
"98" "Cellular process, DNA replication and repair" "Cell cycle" "SFN"
"99" "Cellular process, DNA replication and repair" "Cell cycle" "SKP1"
"100" "Cellular process, DNA replication and repair" "Cell cycle" "SKP1P2"
"101" "Cellular process, DNA replication and repair" "Cell cycle" "SKP2"
"102" "Cellular process, DNA replication and repair" "Cell cycle" "SMAD2"
"103" "Cellular process, DNA replication and repair" "Cell cycle" "SMAD3"
"104" "Cellular process, DNA replication and repair" "Cell cycle" "SMAD4"
"105" "Cellular process, DNA replication and repair" "Cell cycle" "SMC1A"
"106" "Cellular process, DNA replication and repair" "Cell cycle" "SMC1B"
"107" "Cellular process, DNA replication and repair" "Cell cycle" "SMC3"
"108" "Cellular process, DNA replication and repair" "Cell cycle" "STAG1"
"109" "Cellular process, DNA replication and repair" "Cell cycle" "STAG2"
"110" "Cellular process, DNA replication and repair" "Cell cycle" "TFDP1"
"111" "Cellular process, DNA replication and repair" "Cell cycle" "TFDP2"
"112" "Cellular process, DNA replication and repair" "Cell cycle" "TGFB1"
"113" "Cellular process, DNA replication and repair" "Cell cycle" "TGFB2"
"114" "Cellular process, DNA replication and repair" "Cell cycle" "TGFB3"
"115" "Cellular process, DNA replication and repair" "Cell cycle" "TP53"
"116" "Cellular process, DNA replication and repair" "Cell cycle" "TTK"
"117" "Cellular process, DNA replication and repair" "Cell cycle" "WEE1"
"118" "Cellular process, DNA replication and repair" "Cell cycle" "WEE2"
"119" "Cellular process, DNA replication and repair" "Cell cycle" "YWHAB"
"120" "Cellular process, DNA replication and repair" "Cell cycle" "YWHAE"
"121" "Cellular process, DNA replication and repair" "Cell cycle" "YWHAG"
"122" "Cellular process, DNA replication and repair" "Cell cycle" "YWHAH"
"123" "Cellular process, DNA replication and repair" "Cell cycle" "YWHAQ"
"124" "Cellular process, DNA replication and repair" "Cell cycle" "YWHAZ"
"125" "Cellular process, DNA replication and repair" "Cell cycle" "ZBTB17"
"126" "" "Meiosis" "ACTR2"
"127" "" "Meiosis" "AGO4"
"128" "" "Meiosis" "AGPAT1"
"129" "" "Meiosis" "AKAP1"
"130" "" "Meiosis" "AKAP9"
"131" "" "Meiosis" "ANKLE1"
"132" "" "Meiosis" "ANKRD31"
"133" "" "Meiosis" "AR"
"134" "" "Meiosis" "ASPM"
"135" "" "Meiosis" "ASZ1"
"136" "" "Meiosis" "ATM"
"137" "" "Meiosis" "ATR"
"138" "" "Meiosis" "ATRIP"
"139" "" "Meiosis" "ATRX"
"140" "" "Meiosis" "AURKA"
"141" "" "Meiosis" "AURKB"
"142" "" "Meiosis" "AURKC"
"143" "" "Meiosis" "BARD1"
"144" "" "Meiosis" "BAX"
"145" "" "Meiosis" "BLM"
"146" "" "Meiosis" "BOLL"
"147" "" "Meiosis" "BRCA1"
"148" "" "Meiosis" "BRCA2"
"149" "" "Meiosis" "BRDT"
"150" "" "Meiosis" "BRIP1"
"151" "" "Meiosis" "BRME1"
"152" "" "Meiosis" "BRWD1"
"153" "" "Meiosis" "BSG"
"154" "" "Meiosis" "BTBD18"
"155" "" "Meiosis" "BTRC"
"156" "" "Meiosis" "BUB1"
"157" "" "Meiosis" "BUB1B"
"158" "" "Meiosis" "BUB3"
"159" "" "Meiosis" "C11orf80"
"160" "" "Meiosis" "C14orf39"
"161" "" "Meiosis" "C1orf146"
"162" "" "Meiosis" "CALR"
"163" "" "Meiosis" "KASH5"
"164" "" "Meiosis" "CCNA1"
"165" "" "Meiosis" "CCNB1IP1"
"166" "" "Meiosis" "CCNB3"
"167" "" "Meiosis" "CCNE1"
"168" "" "Meiosis" "CCNE2"
"169" "" "Meiosis" "CDC20"
"170" "" "Meiosis" "CDC25A"
"171" "" "Meiosis" "CDC25B"
"172" "" "Meiosis" "CDC25C"
"173" "" "Meiosis" "CDC7"
"174" "" "Meiosis" "CDK1"
"175" "" "Meiosis" "CDK2"
"176" "" "Meiosis" "CDK4"
"177" "" "Meiosis" "CDKN2D"
"178" "" "Meiosis" "CENPC"
"179" "" "Meiosis" "CENPJ"
"180" "" "Meiosis" "CENPX"
"181" "" "Meiosis" "CEP63"
"182" "" "Meiosis" "CGA"
"183" "" "Meiosis" "CHEK1"
"184" "" "Meiosis" "CHEK2"
"185" "" "Meiosis" "CHTF18"
"186" "" "Meiosis" "CKS2"
"187" "" "Meiosis" "CNBD2"
"188" "" "Meiosis" "CNTD1"
"189" "" "Meiosis" "CORT"
"190" "" "Meiosis" "CPEB1"
"191" "" "Meiosis" "CREM"
"192" "" "Meiosis" "CTCFL"
"193" "" "Meiosis" "CUL4A"
"194" "" "Meiosis" "CYP26B1"
"195" "" "Meiosis" "DAZL"
"196" "" "Meiosis" "DCAF17"
"197" "" "Meiosis" "DDX4"
"198" "" "Meiosis" "DICER1"
"199" "" "Meiosis" "DMC1"
"200" "" "Meiosis" "DMRT1"
"201" "" "Meiosis" "DMRTB1"
"202" "" "Meiosis" "DMRTC2"
"203" "" "Meiosis" "DNA2"
"204" "" "Meiosis" "DNMT3C"
"205" "" "Meiosis" "DNMT3L"
"206" "" "Meiosis" "DSN1"
"207" "" "Meiosis" "EGR4"
"208" "" "Meiosis" "EHD1"
"209" "" "Meiosis" "EHMT2"
"210" "" "Meiosis" "EIF4G3"
"211" "" "Meiosis" "EME1"
"212" "" "Meiosis" "EME2"
"213" "" "Meiosis" "ENTPD5"
"214" "" "Meiosis" "ERCC1"
"215" "" "Meiosis" "ERCC4"
"216" "" "Meiosis" "ESPL1"
"217" "" "Meiosis" "EXO1"
"218" "" "Meiosis" "FANCA"
"219" "" "Meiosis" "FANCC"
"220" "" "Meiosis" "FANCD2"
"221" "" "Meiosis" "FANCG"
"222" "" "Meiosis" "FANCM"
"223" "" "Meiosis" "FBXO43"
"224" "" "Meiosis" "FBXO5"
"225" "" "Meiosis" "FIGLA"
"226" "" "Meiosis" "FKBP6"
"227" "" "Meiosis" "FMN2"
"228" "" "Meiosis" "FMR1"
"229" "" "Meiosis" "FUS"
"230" "" "Meiosis" "FZR1"
"231" "" "Meiosis" "GAL3ST1"
"232" "" "Meiosis" "GJA4"
"233" "" "Meiosis" "GM960"
"234" "" "Meiosis" "GNPAT"
"235" "" "Meiosis" "GNRH1"
"236" "" "Meiosis" "GNRHR"
"237" "" "Meiosis" "GOLGA2"
"238" "" "Meiosis" "GPR3"
"239" "" "Meiosis" "GTSF1"
"240" "" "Meiosis" "H1-8"
"241" "" "Meiosis" "H2AX"
"242" "" "Meiosis" "H3F4"
"243" "" "Meiosis" "HELLS"
"244" "" "Meiosis" "HFM1"
"245" "" "Meiosis" "HMMR"
"246" "" "Meiosis" "HORMAD1"
"247" "" "Meiosis" "HORMAD2"
"248" "" "Meiosis" "HSF1"
"249" "" "Meiosis" "HSF2"
"250" "" "Meiosis" "HSF2BP"
"251" "" "Meiosis" "HSP90AA1"
"252" "" "Meiosis" "HSPA2"
"253" "" "Meiosis" "HSPA4"
"254" "" "Meiosis" "HSPBP1"
"255" "" "Meiosis" "HUS1"
"256" "" "Meiosis" "HUS1B"
"257" "" "Meiosis" "IHO1"
"258" "" "Meiosis" "ING2"
"259" "" "Meiosis" "INSR"
"260" "" "Meiosis" "KATNB1"
"261" "" "Meiosis" "KIF18A"
"262" "" "Meiosis" "KISS1R"
"263" "" "Meiosis" "KL"
"264" "" "Meiosis" "KLHDC3"
"265" "" "Meiosis" "KMT2B"
"266" "" "Meiosis" "LFNG"
"267" "" "Meiosis" "LMNA"
"268" "" "Meiosis" "M1AP"
"269" "" "Meiosis" "MAEL"
"270" "" "Meiosis" "MAJIN"
"271" "" "Meiosis" "MAP2"
"272" "" "Meiosis" "MAP7"
"273" "" "Meiosis" "MARF1"
"274" "" "Meiosis" "MASTL"
"275" "" "Meiosis" "MCM8"
"276" "" "Meiosis" "MCM9"
"277" "" "Meiosis" "MCMDC2"
"278" "" "Meiosis" "MCPH1"
"279" "" "Meiosis" "MEI1"
"280" "" "Meiosis" "MEI4"
"281" "" "Meiosis" "MEIKIN"
"282" "" "Meiosis" "MEIOB"
"283" "" "Meiosis" "MEIOC"
"284" "" "Meiosis" "MEIOSIN"
"285" "" "Meiosis" "MGAT2"
"286" "" "Meiosis" "MIOS"
"287" "" "Meiosis" "MLH1"
"288" "" "Meiosis" "MLH3"
"289" "" "Meiosis" "MND1"
"290" "" "Meiosis" "MNS1"
"291" "" "Meiosis" "MORC1"
"292" "" "Meiosis" "MORC2B"
"293" "" "Meiosis" "MOS"
"294" "" "Meiosis" "MOV10L1"
"295" "" "Meiosis" "MRE11"
"296" "" "Meiosis" "MSH2"
"297" "" "Meiosis" "MSH3"
"298" "" "Meiosis" "MSH4"
"299" "" "Meiosis" "MSH5"
"300" "" "Meiosis" "MSH6"
"301" "" "Meiosis" "MSX1"
"302" "" "Meiosis" "MSX2"
"303" "" "Meiosis" "MUS81"
"304" "" "Meiosis" "MYBL1"
"305" "" "Meiosis" "NANOS2"
"306" "" "Meiosis" "NBN"
"307" "" "Meiosis" "NCAPD2"
"308" "" "Meiosis" "NCAPD3"
"309" "" "Meiosis" "NCAPH"
"310" "" "Meiosis" "NDC1"
"311" "" "Meiosis" "NDC80"
"312" "" "Meiosis" "NDRG3"
"313" "" "Meiosis" "NEK2"
"314" "" "Meiosis" "NKAPL"
"315" "" "Meiosis" "NOS2"
"316" "" "Meiosis" "NOS3"
"317" "" "Meiosis" "NPM2"
"318" "" "Meiosis" "NPPC"
"319" "" "Meiosis" "NPR2"
"320" "" "Meiosis" "NR2C2"
"321" "" "Meiosis" "NSUN2"
"322" "" "Meiosis" "NXF2"
"323" "" "Meiosis" "PABPC1L"
"324" "" "Meiosis" "PALB2"
"325" "" "Meiosis" "PATL2"
"326" "" "Meiosis" "PCNA"
"327" "" "Meiosis" "PDE3A"
"328" "" "Meiosis" "PDHA1"
"329" "" "Meiosis" "PIWIL1"
"330" "" "Meiosis" "PIWIL2"
"331" "" "Meiosis" "PIWIL3"
"332" "" "Meiosis" "PIWIL4"
"333" "" "Meiosis" "PLCB1"
"334" "" "Meiosis" "PLD6"
"335" "" "Meiosis" "PLK1"
"336" "" "Meiosis" "PMS2"
"337" "" "Meiosis" "POF1B"
"338" "" "Meiosis" "POLB"
"339" "" "Meiosis" "POLD3"
"340" "" "Meiosis" "POLN"
"341" "" "Meiosis" "PPP1CC"
"342" "" "Meiosis" "PPP2CA"
"343" "" "Meiosis" "PPP2R1A"
"344" "" "Meiosis" "PRDM9"
"345" "" "Meiosis" "PRKAR1A"
"346" "" "Meiosis" "PROKR2"
"347" "" "Meiosis" "PRR19"
"348" "" "Meiosis" "PSMA8"
"349" "" "Meiosis" "PSMC3IP"
"350" "" "Meiosis" "PTH2"
"351" "" "Meiosis" "RAD1"
"352" "" "Meiosis" "RAD17"
"353" "" "Meiosis" "RAD21"
"354" "" "Meiosis" "RAD21L"
"355" "" "Meiosis" "RAD21L1"
"356" "" "Meiosis" "RAD50"
"357" "" "Meiosis" "RAD51"
"358" "" "Meiosis" "RAD51AP1"
"359" "" "Meiosis" "RAD51B"
"360" "" "Meiosis" "RAD51C"
"361" "" "Meiosis" "RAD51D"
"362" "" "Meiosis" "RAD52"
"363" "" "Meiosis" "RAD54B"
"364" "" "Meiosis" "RAD54L"
"365" "" "Meiosis" "RAD9A"
"366" "" "Meiosis" "RAD9B"
"367" "" "Meiosis" "RANBP9"
"368" "" "Meiosis" "RBM7"
"369" "" "Meiosis" "RBMXL2"
"370" "" "Meiosis" "RDH10"
"371" "" "Meiosis" "REC114"
"372" "" "Meiosis" "REC8"
"373" "" "Meiosis" "RECQL4"
"374" "" "Meiosis" "RMI1"
"375" "" "Meiosis" "RNF212"
"376" "" "Meiosis" "RPA1"
"377" "" "Meiosis" "RPA2"
"378" "" "Meiosis" "RPA3"
"379" "" "Meiosis" "RPA4"
"380" "" "Meiosis" "RSPO1"
"381" "" "Meiosis" "SCAI"
"382" "" "Meiosis" "SCMH1"
"383" "" "Meiosis" "SETX"
"384" "" "Meiosis" "SGO1"
"385" "" "Meiosis" "SGO2"
"386" "" "Meiosis" "SGO2A"
"387" "" "Meiosis" "SHCBP1L"
"388" "" "Meiosis" "SHOC1"
"389" "" "Meiosis" "SIAH1A"
"390" "" "Meiosis" "SIRT1"
"391" "" "Meiosis" "SIRT2"
"392" "" "Meiosis" "SIRT7"
"393" "" "Meiosis" "SKP1"
"394" "" "Meiosis" "SLC19A2"
"395" "" "Meiosis" "SLC25A31"
"396" "" "Meiosis" "SLX4"
"397" "" "Meiosis" "SMAD4"
"398" "" "Meiosis" "SMC1A"
"399" "" "Meiosis" "SMC1B"
"400" "" "Meiosis" "SMC2"
"401" "" "Meiosis" "SMC3"
"402" "" "Meiosis" "SMC4"
"403" "" "Meiosis" "SOX9"
"404" "" "Meiosis" "SPATA22"
"405" "" "Meiosis" "SPDYA"
"406" "" "Meiosis" "SPIDR"
"407" "" "Meiosis" "SPIN1"
"408" "" "Meiosis" "SPIRE1"
"409" "" "Meiosis" "SPIRE2"
"410" "" "Meiosis" "SPO11"
"411" "" "Meiosis" "SPOCD1"
"412" "" "Meiosis" "STAG2"
"413" "" "Meiosis" "STAG3"
"414" "" "Meiosis" "STRA8"
"415" "" "Meiosis" "STX2"
"416" "" "Meiosis" "SUN1"
"417" "" "Meiosis" "SWSAP1"
"418" "" "Meiosis" "SYCE1"
"419" "" "Meiosis" "SYCE1L"
"420" "" "Meiosis" "SYCE2"
"421" "" "Meiosis" "SYCE3"
"422" "" "Meiosis" "SYCP1"
"423" "" "Meiosis" "SYCP2"
"424" "" "Meiosis" "SYCP2L"
"425" "" "Meiosis" "SYCP3"
"426" "" "Meiosis" "TAZ"
"427" "" "Meiosis" "TDRD1"
"428" "" "Meiosis" "TDRD12"
"429" "" "Meiosis" "TDRD5"
"430" "" "Meiosis" "TDRD9"
"431" "" "Meiosis" "TDRKH"
"432" "" "Meiosis" "TERB1"
"433" "" "Meiosis" "TERB2"
"434" "" "Meiosis" "TERF1"
"435" "" "Meiosis" "TESMIN"
"436" "" "Meiosis" "TET1"
"437" "" "Meiosis" "TEX11"
"438" "" "Meiosis" "TEX12"
"439" "" "Meiosis" "TEX14"
"440" "" "Meiosis" "TEX15"
"441" "" "Meiosis" "TEX19"
"442" "" "Meiosis" "TEX19.1"
"443" "" "Meiosis" "TOP2A"
"444" "" "Meiosis" "TOP2B"
"445" "" "Meiosis" "TOP3B"
"446" "" "Meiosis" "TOPAZ1"
"447" "" "Meiosis" "TOPBP1"
"448" "" "Meiosis" "TRIP13"
"449" "" "Meiosis" "TRP73"
"450" "" "Meiosis" "TSC22D3"
"451" "" "Meiosis" "TSN"
"452" "" "Meiosis" "TTC26"
"453" "" "Meiosis" "TTK"
"454" "" "Meiosis" "UBB"
"455" "" "Meiosis" "UBE2B"
"456" "" "Meiosis" "UBR2"
"457" "" "Meiosis" "UPF3A"
"458" "" "Meiosis" "UXT"
"459" "" "Meiosis" "VRK1"
"460" "" "Meiosis" "WAPL"
"461" "" "Meiosis" "WBP2NL"
"462" "" "Meiosis" "WEE2"
"463" "" "Meiosis" "WNT4"
"464" "" "Meiosis" "WNT5A"
"465" "" "Meiosis" "WRN"
"466" "" "Meiosis" "XRCC2"
"467" "" "Meiosis" "XRCC3"
"468" "" "Meiosis" "YTHDC2"
"469" "" "Meiosis" "ZC3HC1"
"470" "" "Meiosis" "ZCWPW1"
"471" "" "Meiosis" "ZSCAN21"
"472" "" "Meiosis" "ZSWIM7"
"473" "" "Meiosis" "ZW10"
"474" "" "Meiotic prophase I" "ANKRD31"
"475" "" "Meiotic prophase I" "AR"
"476" "" "Meiotic prophase I" "ASPM"
"477" "" "Meiotic prophase I" "ATM"
"478" "" "Meiotic prophase I" "ATR"
"479" "" "Meiotic prophase I" "ATRIP"
"480" "" "Meiotic prophase I" "ATRX"
"481" "" "Meiotic prophase I" "BARD1"
"482" "" "Meiotic prophase I" "BAX"
"483" "" "Meiotic prophase I" "BLM"
"484" "" "Meiotic prophase I" "BRCA1"
"485" "" "Meiotic prophase I" "BRCA2"
"486" "" "Meiotic prophase I" "BRIP1"
"487" "" "Meiotic prophase I" "BUB1B"
"488" "" "Meiotic prophase I" "C11orf80"
"489" "" "Meiotic prophase I" "C14orf39"
"490" "" "Meiotic prophase I" "C1orf146"
"491" "" "Meiotic prophase I" "KASH5"
"492" "" "Meiotic prophase I" "CCNB1IP1"
"493" "" "Meiotic prophase I" "CDC7"
"494" "" "Meiotic prophase I" "CDK2"
"495" "" "Meiotic prophase I" "CDK4"
"496" "" "Meiotic prophase I" "CENPX"
"497" "" "Meiotic prophase I" "CHEK1"
"498" "" "Meiotic prophase I" "CHEK2"
"499" "" "Meiotic prophase I" "CNTD1"
"500" "" "Meiotic prophase I" "CPEB1"
"501" "" "Meiotic prophase I" "CYP26B1"
"502" "" "Meiotic prophase I" "DAZL"
"503" "" "Meiotic prophase I" "DICER1"
"504" "" "Meiotic prophase I" "DMC1"
"505" "" "Meiotic prophase I" "DMRT1"
"506" "" "Meiotic prophase I" "DNA2"
"507" "" "Meiotic prophase I" "EHMT2"
"508" "" "Meiotic prophase I" "EME1"
"509" "" "Meiotic prophase I" "EME2"
"510" "" "Meiotic prophase I" "ERCC1"
"511" "" "Meiotic prophase I" "ERCC4"
"512" "" "Meiotic prophase I" "ESPL1"
"513" "" "Meiotic prophase I" "EXO1"
"514" "" "Meiotic prophase I" "FANCA"
"515" "" "Meiotic prophase I" "FANCC"
"516" "" "Meiotic prophase I" "FANCD2"
"517" "" "Meiotic prophase I" "FANCG"
"518" "" "Meiotic prophase I" "FANCM"
"519" "" "Meiotic prophase I" "FBXO43"
"520" "" "Meiotic prophase I" "FIGLA"
"521" "" "Meiotic prophase I" "FKBP6"
"522" "" "Meiotic prophase I" "FMR1"
"523" "" "Meiotic prophase I" "GJA4"
"524" "" "Meiotic prophase I" "GNPAT"
"525" "" "Meiotic prophase I" "GPR3"
"526" "" "Meiotic prophase I" "H2AX"
"527" "" "Meiotic prophase I" "HELLS"
"528" "" "Meiotic prophase I" "HFM1"
"529" "" "Meiotic prophase I" "HMMR"
"530" "" "Meiotic prophase I" "HORMAD1"
"531" "" "Meiotic prophase I" "HORMAD2"
"532" "" "Meiotic prophase I" "HSF1"
"533" "" "Meiotic prophase I" "HSF2"
"534" "" "Meiotic prophase I" "HSF2BP"
"535" "" "Meiotic prophase I" "HSPA2"
"536" "" "Meiotic prophase I" "HUS1"
"537" "" "Meiotic prophase I" "KIF18A"
"538" "" "Meiotic prophase I" "KISS1R"
"539" "" "Meiotic prophase I" "KL"
"540" "" "Meiotic prophase I" "KLHDC3"
"541" "" "Meiotic prophase I" "KMT2B"
"542" "" "Meiotic prophase I" "LFNG"
"543" "" "Meiotic prophase I" "LMNA"
"544" "" "Meiotic prophase I" "MAJIN"
"545" "" "Meiotic prophase I" "MCM8"
"546" "" "Meiotic prophase I" "MCM9"
"547" "" "Meiotic prophase I" "MCMDC2"
"548" "" "Meiotic prophase I" "MCPH1"
"549" "" "Meiotic prophase I" "MEI1"
"550" "" "Meiotic prophase I" "MEI4"
"551" "" "Meiotic prophase I" "MEIOB"
"552" "" "Meiotic prophase I" "MEIOC"
"553" "" "Meiotic prophase I" "MIOS"
"554" "" "Meiotic prophase I" "MLH1"
"555" "" "Meiotic prophase I" "MLH3"
"556" "" "Meiotic prophase I" "MND1"
"557" "" "Meiotic prophase I" "MRE11"
"558" "" "Meiotic prophase I" "MSH3"
"559" "" "Meiotic prophase I" "MSH4"
"560" "" "Meiotic prophase I" "MSH5"
"561" "" "Meiotic prophase I" "MSH6"
"562" "" "Meiotic prophase I" "MSX1"
"563" "" "Meiotic prophase I" "MSX2"
"564" "" "Meiotic prophase I" "MUS81"
"565" "" "Meiotic prophase I" "NANOS2"
"566" "" "Meiotic prophase I" "NBN"
"567" "" "Meiotic prophase I" "NOS3"
"568" "" "Meiotic prophase I" "NPR2"
"569" "" "Meiotic prophase I" "NR2C2"
"570" "" "Meiotic prophase I" "PALB2"
"571" "" "Meiotic prophase I" "PATL2"
"572" "" "Meiotic prophase I" "PCNA"
"573" "" "Meiotic prophase I" "PMS2"
"574" "" "Meiotic prophase I" "POF1B"
"575" "" "Meiotic prophase I" "POLB"
"576" "" "Meiotic prophase I" "POLD3"
"577" "" "Meiotic prophase I" "PRDM9"
"578" "" "Meiotic prophase I" "PRR19"
"579" "" "Meiotic prophase I" "PSMC3IP"
"580" "" "Meiotic prophase I" "PTH2"
"581" "" "Meiotic prophase I" "RAD1"
"582" "" "Meiotic prophase I" "RAD17"
"583" "" "Meiotic prophase I" "RAD21"
"584" "" "Meiotic prophase I" "RAD21L"
"585" "" "Meiotic prophase I" "RAD21L1"
"586" "" "Meiotic prophase I" "RAD50"
"587" "" "Meiotic prophase I" "RAD51"
"588" "" "Meiotic prophase I" "RAD51AP1"
"589" "" "Meiotic prophase I" "RAD51B"
"590" "" "Meiotic prophase I" "RAD51C"
"591" "" "Meiotic prophase I" "RAD51D"
"592" "" "Meiotic prophase I" "RAD52"
"593" "" "Meiotic prophase I" "RAD54B"
